-0,67
-0,65
9,29
5,22
-10,54
13,82
-2,32
13,07
19,56
8,9
-16,13
8,55
-18,32
-1,12
-3,95
19,95
4,66
-6,03
13,82
7,32
17,19
-7,09
-12,14
14,97
-2,16
-14,2
-10,07
-16,04
-5,71
5,68
15,68
-7,58
-8,42
14,94
-7,91
-16,64
-9,41
9,63
-9,84
-3,02
-18,38
15,3
12,53
8,06
-9,12
15,8
-4,52
6,89
-6,81
-18,07
16,04
-16,27
17,22
-16,59
-2,64
-12,02
18,22
6,99
13,67
19,69
-18,08
2,93
16,04
-3,38
3,69
-5,73
19,54
-10,55
-0,37
-8,98
12,49
-6,93
-16,44
-1,12
-15,88
12,21
-7,04
-9,89
-16,1
18,94
-3,01
6,84
-16,05
-19,63
3,2
-15,39
-1,5
-16,36
-7,1
10,2
19,18
15,58
18,26
-12,76
-6,59
10,56
4,64
-9,48
6,53
8,65
-19,77
18,92
-19,34
-0,52
4,14
-10,25
-11,93
-10,61
12,14
-5,83
5,02
-16,37
6,6
13,61
-7,22
-1,09
-13,01
11,12
-16,63
-11,98
-1,11
11,82
6,34
-19,68
-16,53
14,12
5,15
9,13
19,57
15,64
-2,79
-9,82
-12,4
1,24
-18,93
-2,29
12,02
-0,01
18,8
-18,47
6,39
4,3
-16,72
-8,53
-19,54
-13,03
-14,85
-15,04
10,79
-18,44
12,01
-0,77
1,95
-1
-17,92
12,04
-18,04
-9,31
0,94
18,19
10,48
-3,3
-3,9
-4,28
-4,74
6,73
-18,47
0,97
-4,7
-13,72
-8,6
8,35
-0,01
5,66
-17,73
-19,67
19,86
-1,98
-7,71
8,8
-16,14
-1,56
5,16
3,1
-19,1
2,36
-10,91
-1,97
-19,52
13,45
10,23
16,55
-16,03
11,88
-2,24
-3,91
6,74
16,94
-19,18
15,88
-8,67
-17,65
5,26
-5,22
18,79
-8,25
-8,52
11,66
-0,24
-15,11
5,82
16,11
3,59
13,08
-17,93
-8,43
-16,58
5,19
15,27
-1,09
9,02
10,29
1,35
-19,82
9,07
-13,3
-0,86
-18,74
-16,16
-14,54
-5,11
-18,39
-8,4
9,13
-13,78
10,55
8,95
-15,84
-16,38
1,7
-16,77
-2,84
-11,86
-19,3
8,51
-18,76
-2,09
-1,4
19,4
-11,95
-8
7,83
6,76
19,92
-5,02
-1,2
-10,44
-2,15
10,5
-10,26
15,92
16,35
4,69
-1,3
-2,79
19,28
6,82
-5,4
-16,93
-4,88
12,08
15,86
-14,36
-2,76
-1,05
-9,05
-4,26
1,33
-18,64
11,33
16,05
-4,56
18,32
-12,26
10,54
8,37
-15,35
-15,53
-4,44
-14,39
6,58
-2,89
-1,49
2,92
0,25
1,28
8,07
9,84
-13,35
16,13
-9,8
6,6
16,44
2,55
2,85
17,07
-3,56
-1,14
10,59
-13,84
15,95
-17,6
-17,63
-2
-14,7
14,99
10,62
13,52
9,72
-14,96
-16,4
-3,91
-2,02
-2,5
-8,48
13,79
17,62
2,04
1,71
-9,11
-17,99
14,36
15,48
-1,71
11,3
19,03
4,47
7,97
-5,32
3,87
-2,19
9,02
-7,48
10,77
11,51
-11,78
9,87
2,69
5,09
12,89
-17,4
-3,6
-18,42
14,29
5,72
-8,59
0,03
19,62
11,89
19,12
11,12
-19,98
-16,86
-8,99
8,09
4,75
12,28
15,88
-10,2
-9,33
9,28
-2,17
-10,37
-1,63
7,86
-0,38
14,81
13,93
-11,94
-5,14
-17,24
18,05
10,49
-11,04
-3,43
13,34
-12,85
-2,08
19,97
13,84
14,84
2,71
12,87
6,32
7,54
3,84
-4,04
-1,47
5,25
-2,04
-7,09
3,66
-16,6
15,68
-18,95
8,67
-7,86
-11,65
-2,45
19,87
-3,52
-5,6
8,2
11,21
15,04
16,81
15,25
-4,87
-13,17
-11,57
11,47
-15,54
